trade_id,counterparty_id,legal_entity,product,asset_class,notional,mtm,collateral,margining,maturity_years,add_on_factor,counterparty_type,rating,credit_limit
T0000000,CP0032,JPM_EMEA_UK,Commodity Future,Commodity,4289855.075914802,229329.26485192997,0.0,Unmargined,2.0531605981645233,0.15,Hedge Fund,A,136500900.33916968
T0000001,CP0019,JPM_EMEA_CH,Securities Financing,SFT,9338503.246515978,128391.79788223452,0.0,Margined,6.401355372900593,0.03,CCP,AA,121755579.54253721
T0000002,CP0072,JPM_EMEA_FR,FX Forward,FX,2015289.279792384,9530.360657427425,14746.076339420571,Margined,5.742990868672143,0.04,Hedge Fund,AA,51326174.75073902
T0000003,CP0064,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,1495178.8594291692,-81196.65995826118,7328.015463884847,Margined,0.9119837770722999,0.005,CCP,BB,61070776.73800309
T0000004,CP0014,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,2112174.891187203,-16211.99543879515,0.0,Unmargined,2.4246589778663608,0.005,Sovereign,BBB,65093074.58952882
T0000005,CP0021,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,4419403.523037106,277245.60437284404,83904.19413412153,Margined,2.3268612574872107,0.005,Corporate,BBB,83265583.00896084
T0000006,CP0015,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,3207447.904406631,14752.848880642234,24186.250662421604,Margined,5.123825129133083,0.005,Sovereign,BBB,96819013.89258417
T0000007,CP0013,JPM_EMEA_DE,Equity Option,Equity,8138201.727338346,-160832.23963314018,156602.96281130088,Margined,3.6910949961002495,0.08,Sovereign,BBB,95537948.16105135
T0000008,CP0020,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,14746799.275121,-907407.0297093475,222863.83439663466,Margined,1.9048478612145452,0.005,Asset Manager,AA,30754899.989917014
T0000009,CP0069,JPM_EMEA_UK,FX Forward,FX,1507505.086714091,72828.62670211743,25412.22389498009,Margined,1.654022587606146,0.04,Bank,AA,117082649.47537337
T0000010,CP0037,JPM_EMEA_DE,Equity Option,Equity,1920039.1366541013,-4709.727428650268,16045.391031641193,Margined,3.229660049548126,0.08,CCP,AA,56560391.89907108
T0000011,CP0031,JPM_EMEA_FR,Equity Option,Equity,951281.6891512024,-58490.206159563255,5599.258147088284,Margined,4.678401356840903,0.08,Asset Manager,AA,127417950.14526652
T0000012,CP0016,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,30467707.489362184,-985608.975533405,387490.9545938149,Margined,3.585645242048617,0.005,Sovereign,BBB,22964503.233860675
T0000013,CP0015,JPM_EMEA_DE,Commodity Future,Commodity,5424706.845343418,-242559.42297821882,104986.2256322306,Margined,1.864182889769389,0.15,Sovereign,BBB,96819013.89258417
T0000014,CP0045,JPM_EMEA_UK,Equity Option,Equity,6463019.873049209,-29801.135868771547,74951.27925510652,Margined,4.358896243216309,0.08,Bank,AAA,92130821.02089284
T0000015,CP0061,JPM_EMEA_FR,Commodity Future,Commodity,1047164.4381895579,7599.129847029317,6685.631218801984,Margined,6.992440538627608,0.15,CCP,BBB,135803023.8142082
T0000016,CP0045,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,3995322.7806536495,-70368.01101839745,9620.15900800602,Margined,1.2778478212223259,0.005,Bank,AAA,92130821.02089284
T0000017,CP0053,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,6656157.363105816,181025.0548638865,90745.4176190424,Margined,3.7223770510061827,0.005,Asset Manager,A,53275461.77378836
T0000018,CP0021,JPM_EMEA_FR,Securities Financing,SFT,3106624.2005511182,8568.313155826765,23509.25350462384,Margined,2.6608101033020057,0.03,Corporate,BBB,83265583.00896084
T0000019,CP0076,JPM_EMEA_CH,FX Forward,FX,11728244.423472708,436067.0757993848,134007.8039297495,Margined,1.5679903833425084,0.04,Asset Manager,BBB,43304880.06050608
T0000020,CP0066,JPM_EMEA_CH,FX Forward,FX,40371556.37011734,-504716.83004077437,407339.70790109027,Margined,6.134670992535252,0.04,Hedge Fund,BBB,106015964.21180893
